delta,size
4857971,4256.534421
10461550,66.317426
6785543,1050
6097459,125.577651
16859550,52.651646
6114756,175.197677
13473873,3223.926133
11870758,104.358
74208648,38.557413
15061166,80.378905
16308673,50.885839
27147679,24.999999
24081639,19.999999
8901291,68.684
10602520,131.959718
6021334,1624.697747
44793522,21.822981
15191105,203.42915
8901392,61.347951
6015700,5027.185568
16377862,42.458483
68346720,37.29549
5427732,401.576716
20084629,45.838939
17277787,103.169627
105665781,24.175371
20706339,96.027455
11550870,58.694551
5431908,3166.707
5474957,91.05781
6599718,5024.387645
3260955,4759.274
5799302,508.600764
9801907,160.018579
3582563,4757.804702
16256425,41.192914
10991158,68.475745
40834966,35.791007
145229189,17.640959
17076682,130.353
5956545,5027.417535
3578323,4757.809207
7341826,60.292865
96120620,36.05578
9488412,531.597248
13331223,261.909042
79440543,48.349629
8267993,5016.42546
26123396,53.128919
10199564,130.076621
8454892,772.645835
6019563,40.819
7972334,33.995883
3711675,6880.79587
19542856,52.132491
76613240,60.234866
8956736,108.710439
10939783,81.462948
10165956,185.59664
78639047,68.317013
3878367,3372.244781
13831405,46.145554
10767205,32.632747
59977299,51.861019
17589535,91.323222
8622229,224.420649
82125704,12.165389
38717027,154.99775
38225284,75.982206
6007574,5027.114954
22162180,133.172844
12973115,173.697336
7082546,5022.004526
59526890,41.102364
66627946,35.448666
4504636,4674.527911
4307989,607.940214
30506696,120.551337
5603161,5029.004725
12604116,32.628143
29832416,51.51
10934537,114.650758
13611004,50.913064
26063251,34.426655
15975882,49.256251
95404685,25.780677
6434575,2528.893124
9865138,266.361222
37827425,67.396885
4889757,3054.581124
13868415,46.941183
40627043,34.154621
3853903,9343.025775
32848171,40.884001
25002652,19.999999
5096962,24.082727
8237574,176.481184
13497556,66.458691
12854426,270.825497
49238724,72.702745
9539027,303.47213
23281440,55.870617
14196106,66.385
16864883,62.070215
43160408,71.645443
33332305,142.896901
46516624,35.564418
12275028,122.970242
21246425,13.236
48234139,55.203711
19056066,64.843
90432078,58.095745
32971832,189.063069
4311287,306.369099
6595409,184.178191
20007450,35.707265
78749476,36.138147
15080021,65.26178
63287225,42.849802
38345916,83.22775
32917875,50
5297816,65.964955
58785266,46.315356
19498250,41.865093
55247790,76.634077
4661031,338.723682
59701434,101.333856
24678488,51.886832
23860246,50.445973
30745993,64.399
25956234,22.873134
18654179,22.514381
8631323,69.746659
24531022,107.524957
5967021,192.289739
9046905,47.235
38383001,82.319
23355822,141.674816
19745435,45.307497
9824057,30.631
50174439,75.085593
